date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:47:04	188671/188671	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-2e0ff%22	http://demos.ui-lib.com/gull/html/layout1/datatables.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/datatables.html	(from )
07:47:04	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263b4760c-247b%22	http://demos.ui-lib.com/robots.txt		(from )
07:47:04	669840/669840	---M-Z	200	added ('OK')	text/css	etag:W/%2261bf7202-a3890%22	http://demos.ui-lib.com/gull/dist-assets/css/themes/lite-purple.min.css	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/dist-assets/css/themes/lite-purple.min.css	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:06	2822/2822	---M-Z	200	added ('OK')	text/css	etag:W/%2261bf7202-b06%22	http://demos.ui-lib.com/gull/dist-assets/css/plugins/perfect-scrollbar.min.css	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/dist-assets/css/plugins/perfect-scrollbar.min.css	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:07	26300/26300	---M-Z	200	added ('OK')	text/css	etag:W/%2261bf7202-66bc%22	http://demos.ui-lib.com/gull/dist-assets/css/plugins/datatables.min.css	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/dist-assets/css/plugins/datatables.min.css	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:07	49114/49114	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-bfda%22	http://demos.ui-lib.com/gull/html/layout1/accordion.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/accordion.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:08	37977/37977	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-9459%22	http://demos.ui-lib.com/gull/html/layout1/alerts.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/alerts.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:08	48350/48350	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-bcde%22	http://demos.ui-lib.com/gull/html/layout1/buttons.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/buttons.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:08	49576/49576	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-c1a8%22	http://demos.ui-lib.com/gull/html/layout1/badges.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/badges.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:09	57182/57182	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-df5e%22	http://demos.ui-lib.com/gull/html/layout1/carousel.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/carousel.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:09	53296/53296	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-d030%22	http://demos.ui-lib.com/gull/html/layout1/lists.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/lists.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:10	36871/36871	---M--	200	added ('OK')	image/png	etag:%2261bf7202-9007%22	http://demos.ui-lib.com/gull/dist-assets/images/logo.png	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/dist-assets/images/logo.png	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:10	37130/37130	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-910a%22	http://demos.ui-lib.com/gull/html/layout1/popover.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/popover.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:10	118755/118755	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-1cfe3%22	http://demos.ui-lib.com/gull/html/layout1/tables.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/tables.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:10	53810/53810	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-d232%22	http://demos.ui-lib.com/gull/html/layout1/modals.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/modals.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:11	63529/63529	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-f829%22	http://demos.ui-lib.com/gull/html/layout1/nouislider.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/nouislider.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:11	47005/47005	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-b79d%22	http://demos.ui-lib.com/gull/html/layout1/tabs.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/tabs.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:11	5169/5169	---M--	200	added ('OK')	image/jpeg	etag:%2261bf7202-1431%22	http://demos.ui-lib.com/gull/dist-assets/images/faces/1.jpg	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/dist-assets/images/faces/1.jpg	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:12	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263b4760b-247b%22	http://demos.ui-lib.com/gull/html/layout1/signin.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/signin.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:12	53162/53162	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-cfaa%22	http://demos.ui-lib.com/gull/html/layout1/dashboard1.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/dashboard1.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:12	81901/81901	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-13fed%22	http://demos.ui-lib.com/gull/html/layout1/dashboard2.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/dashboard2.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:13	71610/71610	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-117ba%22	http://demos.ui-lib.com/gull/html/layout1/dashboard3.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/dashboard3.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:13	105336/105336	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-19b78%22	http://demos.ui-lib.com/gull/html/layout1/dashboard4.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/dashboard4.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:13	51957/51957	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-caf5%22	http://demos.ui-lib.com/gull/html/layout1/form.basic.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/form.basic.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:14	43036/43036	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-a81c%22	http://demos.ui-lib.com/gull/html/layout1/form.layouts.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/form.layouts.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:14	38204/38204	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-953c%22	http://demos.ui-lib.com/gull/html/layout1/form.input.group.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/form.input.group.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:14	44546/44546	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-ae02%22	http://demos.ui-lib.com/gull/html/layout1/form.validation.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/form.validation.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:15	43639/43639	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-aa77%22	http://demos.ui-lib.com/gull/html/layout1/smart.wizard.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/smart.wizard.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:15	36715/36715	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-8f6b%22	http://demos.ui-lib.com/gull/html/layout1/tag.input.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/tag.input.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:15	41722/41722	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-a2fa%22	http://demos.ui-lib.com/gull/html/layout1/editor.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/editor.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:15	49929/49929	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-c309%22	http://demos.ui-lib.com/gull/html/layout1/invoice.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/invoice.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:16	45621/45621	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-b235%22	http://demos.ui-lib.com/gull/html/layout1/inbox.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/inbox.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:16	40774/40774	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-9f46%22	http://demos.ui-lib.com/gull/html/layout1/chat.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/chat.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:17	55132/55132	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-d75c%22	http://demos.ui-lib.com/gull/html/layout1/widget-card.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/widget-card.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:17	77639/77639	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-12f47%22	http://demos.ui-lib.com/gull/html/layout1/widget-statistics.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/widget-statistics.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:17	224179/224179	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-36bb3%22	http://demos.ui-lib.com/gull/html/layout1/widget-list.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/widget-list.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
07:47:18	91756/91756	---M-Z	200	added ('OK')	text/html	etag:W/%2261bf7202-1666c%22	http://demos.ui-lib.com/gull/html/layout1/widget-app.html	C:/Users/User/Desktop/dashboard-completo/liteci/demos.ui-lib.com/gull/html/layout1/widget-app.html	(from http://demos.ui-lib.com/gull/html/layout1/datatables.html)
